	1	2	3
Bacteroides	20.45144133	7.791516393	6.712329545
Roseburia	6.490612245	5.09147541	2.359204545
Agathobacter	6.038545918	6.165	1.692954545
Faecalibacterium	5.419540816	5.76045082	2.226363636
Blautia	4.627971939	3.585081967	3.504943182
Lachnoclostridium	3.301211735	1.949467213	1.465568182
Fusicatenibacter	3.197321429	2.013729508	1.420909091
Lachnospiraceae_unidentified	2.45684949	2.007827869	1.249375
Escherichia_Shigella	2.44815051	1.255983607	16.67943182
Bifidobacterium	2.277614796	1.134057377	5.578806818
Dorea	2.010931122	2.690163934	1.464204545
Ruminococcus_2	1.825165816	0.984631148	0.798636364
Ruminococcus_torques_group	1.501798469	1.31807377	1.887102273
Megamonas	1.48130102	2.040942623	0.331136364
Ruminococcus_gnavus_group	1.430841837	0.160655738	1.379318182
Lachnospira	1.424821429	0.910983607	0.417215909
Subdoligranulum	1.228686224	1.097377049	0.663806818
Dialister	1.216288265	5.991844262	0.908238636
Lachnospiraceae_NK4A136_group	1.149183673	1.408278689	0.415170455
Streptococcus	1.132755102	1.094795082	7.289488636
Klebsiella	0.576798469	0.353155738	6.004034091
Enterococcus	0.248890306	0.045737705	5.423522727
Prevotella_9	0.167423469	15.75954918	0.645795455
Others	23.20984694	24.57934426	23.79005682
