	1	2	3	4	5
Bacteroides	26.95994413	8.918440367	10.77883721	8.46	6.383563218
Roseburia	6.302709497	5.217798165	2.954806202	4.112556391	0.812988506
Faecalibacterium	5.279553073	6.869143731	2.708139535	5.248721805	1.071264368
Blautia	4.591145251	6.140764526	3.336124031	3.318947368	10.15666667
Agathobacter	4.554469274	6.629204893	3.230387597	4.043458647	1.419885057
Ruminococcus_gnavus_group	3.760614525	0.887003058	2.726124031	1.080601504	10.92827586
Lachnoclostridium	3.470726257	1.463333333	1.529224806	2.026842105	3.959655172
Bifidobacterium	2.450558659	3.402966361	2.446124031	2.502857143	10.86712644
Fusicatenibacter	2.366899441	4.307584098	1.492635659	2.039022556	2.605862069
Escherichia_Shigella	2.206452514	1.082905199	28.04697674	1.661729323	7.230689655
Lachnospiraceae_unidentified	2.103631285	1.849082569	1.035736434	1.457819549	1.239885057
Streptococcus	1.602877095	2.98204893	3.328527132	1.643834586	7.480229885
Lachnospira	1.389888268	1.039266055	0.439379845	0.761052632	0.368275862
Ruminococcus_2	1.383128492	4.181406728	1.49248062	1.19887218	0.497126437
Dorea	1.297346369	2.258685015	1.069379845	1.672932331	1.698505747
Ruminococcus_torques_group	1.140558659	1.38911315	1.035658915	1.003308271	0.905977011
Lachnospiraceae_NK4A136_group	1.11650838	1.099877676	0.615116279	1.146015038	0.075747126
Subdoligranulum	1.029944134	2.331926606	0.885116279	1.003609023	0.158965517
Megamonas	0.746284916	0.350856269	0.257674419	6.833082707	0.07
Dialister	0.589106145	1.938348624	0.772170543	2.426917293	0.626666667
Clostridium_sensu_stricto_1	0.584385475	1.393455657	1.218992248	0.706090226	0.994022989
Klebsiella	0.135139665	1.91675841	2.212945736	0.280225564	0.77862069
Prevotella_9	0.059636872	0.626024465	0.649147287	18.77721805	0.117356322
Others	19.83578212	25.85480122	20.44806202	21.14097744	23.0183908
