Sample	avg_sequence_length	percent_dedup	percent_duplicates	seq_len_read_count	seq_len_bp	sequence_length	total_sequences	percent_gc
temp | CRR214271.merged	455.390276432	3.66223393944	96.3377660606	128965.0	58729407.0	246-475	128965.0	51.0
temp | CRR214272.merged	453.834865184	2.90720036075	97.0927996393	75399.0	34218695.0	253-475	75399.0	53.0
temp | CRR214273.merged	459.306239321	3.74973302008	96.2502669799	74912.0	34407549.0	253-476	74912.0	51.0
temp | CRR214274.merged	451.746754588	3.33321855308	96.6667814469	58082.0	26238355.0	281-475	58082.0	53.0
temp | CRR214275.merged	456.914900568	3.24273624972	96.7572637503	94889.0	43356198.0	243-475	94889.0	52.0
temp | CRR214276.merged	454.906878385	3.57497959487	96.4250204051	67385.0	30653900.0	253-475	67385.0	51.0
temp | CRR214277.merged	455.901292327	3.38324960693	96.6167503931	104308.0	47554152.0	247-475	104308.0	52.0
temp | CRR214278.merged	455.190166001	4.47047699096	95.529523009	38072.0	17330000.0	268-475	38072.0	50.0
temp | CRR214279.merged	453.568335329	3.07904191617	96.9209580838	83500.0	37872956.0	262-475	83500.0	52.0
temp | CRR214280.merged	456.261425728	3.69258377334	96.3074162267	86931.0	39663262.0	256-475	86931.0	52.0
temp | CRR214281.merged	455.802051648	3.31038169299	96.689618307	78571.0	35812823.0	248-475	78571.0	51.0
temp | CRR214282.merged	456.342181068	3.41819538876	96.5818046112	85747.0	39129973.0	246-476	85747.0	51.0
temp | CRR214283.merged	461.108242173	3.71180686533	96.2881931347	53020.0	24447959.0	253-475	53020.0	53.0
temp | CRR214284.merged	459.104499631	3.89722153922	96.1027784608	48804.0	22406136.0	255-475	48804.0	50.0
temp | CRR214285.merged	461.441395801	3.48501830681	96.5149816932	66915.0	30877351.0	245-476	66915.0	52.0
temp | CRR214286.merged	454.88873225	2.79906016958	97.2009398304	97890.0	44529058.0	244-475	97890.0	52.0
temp | CRR214287.merged	450.152752981	2.6732969864	97.3267030136	83455.0	37567498.0	252-476	83455.0	53.0
temp | CRR214288.merged	460.413930406	3.01261092947	96.9873890705	85640.0	39429849.0	249-475	85640.0	52.0
temp | CRR214289.merged	463.98377584	3.66582600234	96.3341739977	50357.0	23364831.0	244-475	50357.0	53.0
temp | CRR214290.merged	453.579388959	2.99589116439	97.0041088356	92727.0	42059056.0	245-475	92727.0	53.0
temp | CRR214291.merged	453.363231587	3.49655691727	96.5034430827	91633.0	41543033.0	246-476	91633.0	52.0
temp | CRR214292.merged	460.08917363	3.59213209131	96.4078679087	50026.0	23016421.0	273-475	50026.0	51.0
temp | CRR214293.merged	455.949582054	3.3891084309	96.6108915691	68071.0	31036944.0	246-475	68071.0	51.0
temp | CRR214294.merged	454.403366744	3.26511062826	96.7348893717	85602.0	38897837.0	243-475	85602.0	51.0
temp | CRR214295.merged	452.995264602	3.91395106112	96.0860489389	51738.0	23437069.0	246-475	51738.0	53.0
temp | CRR214296.merged	451.665549317	2.32077013324	97.6792298668	190928.0	86235600.0	245-475	190928.0	52.0
temp | CRR214297.merged	452.305120101	3.14159292035	96.8584070796	79100.0	35777335.0	248-476	79100.0	52.0
temp | CRR214298.merged	458.614270117	3.01130160229	96.9886983977	67778.0	31083958.0	251-475	67778.0	50.0
temp | CRR214299.merged	454.561397692	2.90760696295	97.092393037	78415.0	35644432.0	244-475	78415.0	52.0
temp | CRR214300.merged	455.235733686	3.47622400736	96.5237759926	69587.0	31678489.0	243-475	69587.0	52.0
temp | CRR214301.merged	456.382506353	4.18349605457	95.8165039454	37385.0	17061860.0	256-474	37385.0	51.0
temp | CRR214302.merged	456.695979844	4.00920144594	95.9907985541	45645.0	20845888.0	296-475	45645.0	52.0
temp | CRR214303.merged	457.253503788	3.41264204545	96.5873579545	84480.0	38628776.0	260-475	84480.0	53.0
temp | CRR214304.merged	457.232896192	2.9805081946	97.0194918054	139238.0	63664194.0	255-475	139238.0	51.0
temp | CRR214305.merged	455.714663212	3.68753942411	96.3124605759	58657.0	26730855.0	248-476	58657.0	51.0
temp | CRR214306.merged	451.840765473	2.85483798682	97.1451620132	111565.0	50409615.0	244-475	111565.0	52.0
temp | CRR214307.merged	452.289302268	2.87063698293	97.1293630171	113912.0	51521179.0	244-475	113912.0	51.0
temp | CRR214308.merged	459.311696795	3.48625246848	96.5137475315	65830.0	30236489.0	277-475	65830.0	51.0
temp | CRR214309.merged	453.451421705	3.23963560189	96.7603643981	61581.0	27923992.0	268-474	61581.0	51.0
temp | CRR214310.merged	457.692463307	4.04179920755	95.9582007925	71676.0	32805565.0	245-476	71676.0	52.0
temp | CRR214311.merged	454.538415261	3.47071820787	96.5292817921	91422.0	41554811.0	246-475	91422.0	52.0
temp | CRR214312.merged	457.5038523	2.54445156891	97.4555484311	98253.0	44951126.0	245-476	98253.0	50.0
temp | CRR214313.merged	464.521026324	3.00317839776	96.9968216022	73622.0	34198967.0	259-476	73622.0	56.0
temp | CRR214314.merged	453.468481354	3.96360482632	96.0363951737	65723.0	29803309.0	245-475	65723.0	51.0
temp | CRR214315.merged	455.636734612	3.35783109578	96.6421689042	99737.0	45443841.0	244-475	99737.0	52.0
temp | CRR214316.merged	453.938759251	2.48239095796	97.517609042	134306.0	60966699.0	246-475	134306.0	51.0
temp | CRR214317.merged	456.784063299	3.27205882353	96.7279411765	62560.0	28576411.0	277-475	62560.0	50.0
temp | CRR214318.merged	450.998058239	2.60701905524	97.3929809448	146259.0	65962525.0	246-476	146259.0	52.0
temp | CRR214319.merged	452.832915643	2.56064858904	97.439351411	159608.0	72275756.0	244-475	159608.0	52.0
temp | CRR214320.merged	458.037076687	6.01648645755	93.9835135424	56046.0	25671146.0	249-475	56046.0	52.0
temp | CRR214321.merged	457.049251379	3.19486659912	96.8051334009	88830.0	40599685.0	267-474	88830.0	52.0
