Sample	fastqc_percent_duplicates	fastqc_percent_gc	fastqc_avg_sequence_length	fastqc_total_sequences
temp | CRR214271.merged	96.3377660606	51.0	455.390276432	128965.0
temp | CRR214272.merged	97.0927996393	53.0	453.834865184	75399.0
temp | CRR214273.merged	96.2502669799	51.0	459.306239321	74912.0
temp | CRR214274.merged	96.6667814469	53.0	451.746754588	58082.0
temp | CRR214275.merged	96.7572637503	52.0	456.914900568	94889.0
temp | CRR214276.merged	96.4250204051	51.0	454.906878385	67385.0
temp | CRR214277.merged	96.6167503931	52.0	455.901292327	104308.0
temp | CRR214278.merged	95.529523009	50.0	455.190166001	38072.0
temp | CRR214279.merged	96.9209580838	52.0	453.568335329	83500.0
temp | CRR214280.merged	96.3074162267	52.0	456.261425728	86931.0
temp | CRR214281.merged	96.689618307	51.0	455.802051648	78571.0
temp | CRR214282.merged	96.5818046112	51.0	456.342181068	85747.0
temp | CRR214283.merged	96.2881931347	53.0	461.108242173	53020.0
temp | CRR214284.merged	96.1027784608	50.0	459.104499631	48804.0
temp | CRR214285.merged	96.5149816932	52.0	461.441395801	66915.0
temp | CRR214286.merged	97.2009398304	52.0	454.88873225	97890.0
temp | CRR214287.merged	97.3267030136	53.0	450.152752981	83455.0
temp | CRR214288.merged	96.9873890705	52.0	460.413930406	85640.0
temp | CRR214289.merged	96.3341739977	53.0	463.98377584	50357.0
temp | CRR214290.merged	97.0041088356	53.0	453.579388959	92727.0
temp | CRR214291.merged	96.5034430827	52.0	453.363231587	91633.0
temp | CRR214292.merged	96.4078679087	51.0	460.08917363	50026.0
temp | CRR214293.merged	96.6108915691	51.0	455.949582054	68071.0
temp | CRR214294.merged	96.7348893717	51.0	454.403366744	85602.0
temp | CRR214295.merged	96.0860489389	53.0	452.995264602	51738.0
temp | CRR214296.merged	97.6792298668	52.0	451.665549317	190928.0
temp | CRR214297.merged	96.8584070796	52.0	452.305120101	79100.0
temp | CRR214298.merged	96.9886983977	50.0	458.614270117	67778.0
temp | CRR214299.merged	97.092393037	52.0	454.561397692	78415.0
temp | CRR214300.merged	96.5237759926	52.0	455.235733686	69587.0
temp | CRR214301.merged	95.8165039454	51.0	456.382506353	37385.0
temp | CRR214302.merged	95.9907985541	52.0	456.695979844	45645.0
temp | CRR214303.merged	96.5873579545	53.0	457.253503788	84480.0
temp | CRR214304.merged	97.0194918054	51.0	457.232896192	139238.0
temp | CRR214305.merged	96.3124605759	51.0	455.714663212	58657.0
temp | CRR214306.merged	97.1451620132	52.0	451.840765473	111565.0
temp | CRR214307.merged	97.1293630171	51.0	452.289302268	113912.0
temp | CRR214308.merged	96.5137475315	51.0	459.311696795	65830.0
temp | CRR214309.merged	96.7603643981	51.0	453.451421705	61581.0
temp | CRR214310.merged	95.9582007925	52.0	457.692463307	71676.0
temp | CRR214311.merged	96.5292817921	52.0	454.538415261	91422.0
temp | CRR214312.merged	97.4555484311	50.0	457.5038523	98253.0
temp | CRR214313.merged	96.9968216022	56.0	464.521026324	73622.0
temp | CRR214314.merged	96.0363951737	51.0	453.468481354	65723.0
temp | CRR214315.merged	96.6421689042	52.0	455.636734612	99737.0
temp | CRR214316.merged	97.517609042	51.0	453.938759251	134306.0
temp | CRR214317.merged	96.7279411765	50.0	456.784063299	62560.0
temp | CRR214318.merged	97.3929809448	52.0	450.998058239	146259.0
temp | CRR214319.merged	97.439351411	52.0	452.832915643	159608.0
temp | CRR214320.merged	93.9835135424	52.0	458.037076687	56046.0
temp | CRR214321.merged	96.8051334009	52.0	457.049251379	88830.0
temp | CRR214322.merged	96.2691868578	52.0	453.619193201	78830.0
temp | CRR214323.merged	96.0122805202	52.0	455.313291248	57978.0
temp | CRR214324.merged	96.0744154293	52.0	456.341134303	99603.0
temp | CRR214325.merged	95.4727003212	53.0	454.447809438	48572.0
temp | CRR214326.merged	96.7150447065	52.0	450.059587059	46302.0
temp | CRR214327.merged	91.1178691275	50.0	459.071203859	9536.0
temp | CRR214328.merged	97.3162824207	54.0	466.769650576	55520.0
temp | CRR214329.merged	91.1279143037	51.0	454.119596723	7935.0
temp | CRR214330.merged	96.8363781004	54.0	462.122865585	70394.0
temp | CRR214331.merged	96.4320579061	52.0	453.479713803	83998.0
temp | CRR214332.merged	96.2957872311	50.0	457.228735711	43653.0
temp | CRR214333.merged	95.9192196804	52.0	455.346576671	74226.0
temp | CRR214334.merged	96.9284664227	52.0	452.829126396	95913.0
temp | CRR214335.merged	95.9396768825	52.0	455.074844259	67901.0
temp | CRR214336.merged	91.9045634507	51.0	453.398624713	9598.0
temp | CRR214337.merged	96.5425470897	52.0	454.290292977	87174.0
temp | CRR214338.merged	97.0096818354	50.0	458.135628165	60629.0
temp | CRR214339.merged	96.4577515235	51.0	457.664254643	96323.0
temp | CRR214340.merged	97.6245473604	52.0	452.834190966	131175.0
